source_address;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
134.249.216.60;12;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
109.200.247.5;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
109.122.13.200;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
164.92.136.2;5;6;6;8;4;5;6;5;5;8;3;10;8;6;6;6;8;4;5;2;6;3;4;4
54.70.169.131;41;39;37;41;39;38;37;41;37;41;38;41;36;40;39;40;39;41;36;39;34;35;34;36
47.89.255.199;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23.94.13.154;26;22;21;26;25;27;27;28;30;27;26;29;24;26;25;23;28;25;23;21;26;25;20;23
188.130.178.250;19;0;5;44;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
195.230.115.56;5;0;0;0;0;0;0;11;0;2;0;0;36;23;0;0;0;0;0;0;0;0;0;0
62.16.8.208;47;14;0;0;0;0;0;0;0;0;1;8;10;0;0;0;0;0;5;3;0;29;6;5
86.111.78.120;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
95.143.193.15;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
173.82.254.45;42;40;40;43;45;44;44;44;44;44;44;45;44;44;45;44;44;44;45;40;41;41;41;41
54.39.132.160;17;16;16;17;16;16;16;16;15;16;16;16;17;18;18;18;18;15;15;15;15;15;15;15
167.248.133.60;2;0;0;1;0;0;0;0;1;0;0;0;1;0;4;0;2;1;0;1;6;0;0;0
45.8.135.160;15;0;0;16;0;0;15;2;0;15;0;0;16;0;0;18;0;1;14;0;0;14;0;0
195.149.108.43;13;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.172.38.43;56;52;44;44;56;41;46;34;40;46;49;50;45;54;42;51;44;53;48;45;49;49;55;47
109.122.14.222;3;0;0;0;0;0;0;0;0;0;10;21;0;0;0;0;0;0;0;0;0;0;0;0
195.64.232.17;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.196.7.248;47;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
61.177.173.50;20;20;14;21;10;20;15;19;17;20;27;20;23;22;24;17;17;16;21;19;17;18;12;16
43.131.58.217;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
128.199.64.114;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
46.249.59.122;32;32;38;57;61;54;55;27;59;53;57;61;34;58;67;42;29;27;44;52;30;48;48;42
212.227.155.127;272;265;262;261;249;254;254;246;255;251;250;246;263;274;270;270;283;236;233;230;233;230;225;244
212.55.72.73;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
85.238.103.227;4;0;0;0;0;0;0;0;0;0;0;0;27;48;1;0;0;0;0;0;0;0;0;0
88.99.120.104;149;144;172;247;83;40;89;103;69;97;113;102;72;66;103;98;66;68;62;96;138;159;186;140
47.104.105.193;24;23;22;19;18;18;18;18;17;18;17;17;20;22;20;21;22;19;19;20;20;20;20;20
14.160.24.21;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;12;0;0;0;0;0;0
41.138.54.13;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
185.226.117.16;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
