analyzer_id,source_port,source_protocol,target_port,target_protocol
1,39922,4,2222,4
1,40186,4,2222,4
1,53460,4,2222,4
1,53470,4,2222,4
1,53482,4,2222,4
1,52112,4,2222,4
1,34538,4,2222,4
1,35472,4,2222,4
1,49780,4,2222,4
1,49796,4,2222,4
1,58544,4,2222,4
1,59558,4,2222,4
1,59962,4,2222,4
1,42476,4,2222,4
1,54320,4,2222,4
1,55370,4,2222,4
1,55740,4,2222,4
1,38058,4,2222,4
1,38066,4,2222,4
1,55856,4,2222,4
1,50472,4,2222,4
1,50094,4,2222,4
1,51154,4,2222,4
1,51514,4,2222,4
1,38040,4,2222,4
1,38056,4,2222,4
1,38064,4,2222,4
1,45872,4,2222,4
1,46868,4,2222,4
1,47290,4,2222,4
1,47210,4,2222,4
1,41644,4,2222,4
1,59502,4,2222,4
1,33384,4,2222,4
1,57824,4,2222,4
1,37410,4,2222,4
1,36470,4,2222,4
1,55188,4,2222,4
1,33756,4,2222,4
1,57362,4,2222,4
1,33174,4,2222,4
1,33116,4,2222,4
1,57386,4,2222,4
1,57170,4,2222,4
1,57416,4,2222,4
1,51426,4,2222,4
1,51434,4,2222,4
1,51450,4,2222,4
1,59452,4,2222,4
1,59456,4,2222,4
1,59470,4,2222,4
1,39270,4,2222,4
1,34844,4,2222,4
1,35022,4,2222,4
1,48806,4,2222,4
1,52944,4,2222,4
1,53866,4,2222,4
1,54364,4,2222,4
1,45010,4,2222,4
1,55916,4,2222,4
1,55924,4,2222,4
1,46784,4,2222,4
1,54354,4,2222,4
1,54926,4,2222,4
1,48056,4,2222,4
1,50847,4,2222,4
1,55432,4,2222,4
1,48722,4,2222,4
1,49646,4,2222,4
1,39580,4,2222,4
1,35614,4,2222,4
1,50142,4,2222,4
1,33502,4,2222,4
1,42988,4,2222,4
1,33994,4,2222,4
1,34505,4,2222,4
1,39162,4,2222,4
1,50876,4,2222,4
1,55486,4,2222,4
1,56324,4,2222,4
1,50886,4,2222,4
1,57308,4,2222,4
1,38716,4,2222,4
1,44502,4,2222,4
1,45374,4,2222,4
1,45920,4,2222,4
1,37650,4,2222,4
1,38646,4,2222,4
1,39094,4,2222,4
1,44389,4,2222,4
1,51094,4,2222,4
1,47094,4,2222,4
1,48058,4,2222,4
1,49072,4,2222,4
1,54200,4,2222,4
1,54210,4,2222,4
1,54234,4,2222,4
1,40270,4,2222,4
1,55271,4,2222,4
1,34090,4,2222,4
1,34998,4,2222,4
1,55894,4,2222,4
1,35490,4,2222,4
1,56423,4,2222,4
1,38754,4,2222,4
1,46014,4,2222,4
1,57634,4,2222,4
1,58634,4,2222,4
1,58430,4,2222,4
1,59440,4,2222,4
1,37922,4,2222,4
1,58656,4,2222,4
1,59608,4,2222,4
1,60082,4,2222,4
1,36044,4,2222,4
1,57904,4,2222,4
1,36968,4,2222,4
1,59580,4,2222,4
1,37462,4,2222,4
1,60446,4,2222,4
1,46162,4,2222,4
1,38754,4,2222,4
1,38756,4,2222,4
1,37956,4,2222,4
1,48316,4,2222,4
1,48806,4,2222,4
1,49358,4,2222,4
1,49785,4,2222,4
1,49510,4,2222,4
1,55074,4,2222,4
1,60078,4,2222,4
1,47320,4,2222,4
1,32858,4,2222,4
1,33264,4,2222,4
1,39758,4,2222,4
1,38996,4,2222,4
1,59694,4,2222,4
1,60280,4,2222,4
1,60717,4,2222,4
1,41830,4,2222,4
1,42742,4,2222,4
1,43772,4,2222,4
1,51212,4,2222,4
1,52358,4,2222,4
1,52840,4,2222,4
1,36446,4,2222,4
1,36462,4,2222,4
1,41138,4,2222,4
1,42354,4,2222,4
1,42960,4,2222,4
1,43409,4,2222,4
1,55848,4,2222,4
1,57908,4,2222,4
1,51784,4,2222,4
1,33458,4,2222,4
1,54352,4,2222,4
1,47682,4,2222,4
1,48710,4,2222,4
1,49192,4,2222,4
1,53239,4,2222,4
1,53847,4,2222,4
1,54316,4,2222,4
1,48586,4,2222,4
1,57310,4,2222,4
1,53320,4,2222,4
1,39850,4,2222,4
1,51006,4,2222,4
1,51012,4,2222,4
1,43950,4,2222,4
1,45054,4,2222,4
1,35891,4,2222,4
1,45604,4,2222,4
1,39266,4,2222,4
1,42654,4,2222,4
1,44900,4,2222,4
1,37584,4,2222,4
1,46772,4,2222,4
1,37588,4,2222,4
1,37598,4,2222,4
1,40376,4,2222,4
1,58176,4,2222,4
1,36590,4,2222,4
1,53104,4,2222,4
1,53110,4,2222,4
1,53122,4,2222,4
1,57654,4,2222,4
1,43374,4,2222,4
1,36670,4,2222,4
1,37736,4,2222,4
1,38232,4,2222,4
1,48856,4,2222,4
1,50040,4,2222,4
1,50876,4,2222,4
1,56410,4,2222,4
1,57204,4,2222,4
1,58120,4,2222,4
1,35154,4,2222,4
1,53030,4,2222,4
1,53034,4,2222,4
1,40304,4,2222,4
1,33634,4,2222,4
1,39538,4,2222,4
1,60512,4,2222,4
1,34086,4,2222,4
1,34514,4,2222,4
1,40914,4,2222,4
1,41776,4,2222,4
1,47990,4,2222,4
1,48870,4,2222,4
1,49808,4,2222,4
1,35660,4,2222,4
1,35666,4,2222,4
1,35668,4,2222,4
1,51186,4,2222,4
1,58458,4,2222,4
1,39778,4,2222,4
1,39066,4,2222,4
1,40556,4,2222,4
1,57630,4,2222,4
1,41486,4,2222,4
1,35500,4,2222,4
1,33835,4,2222,4
1,34294,4,2222,4
1,34655,4,2222,4
1,59520,4,2222,4
1,49140,4,2222,4
1,43986,4,2222,4
1,54514,4,2222,4
1,55078,4,2222,4
1,48756,4,2222,4
1,55472,4,2222,4
1,44724,4,2222,4
1,45229,4,2222,4
1,45582,4,2222,4
1,38058,4,2222,4
1,51160,4,2222,4
1,39824,4,2222,4
1,40862,4,2222,4
1,41800,4,2222,4
1,56228,4,2222,4
1,55352,4,2222,4
1,49728,4,2222,4
1,49736,4,2222,4
1,50566,4,2222,4
1,51434,4,2222,4
1,51798,4,2222,4
1,55618,4,2222,4
1,42780,4,2222,4
1,56022,4,2222,4
1,43640,4,2222,4
1,56401,4,2222,4
1,44588,4,2222,4
1,59654,4,2222,4
1,58742,4,2222,4
1,59700,4,2222,4
1,60838,4,2222,4
1,38196,4,2222,4
1,38212,4,2222,4
1,35990,4,2222,4
1,32810,4,2222,4
1,32812,4,2222,4
1,32822,4,2222,4
1,34518,4,2222,4
1,38272,4,2222,4
1,47010,4,2222,4
1,49430,4,2222,4
1,50268,4,2222,4
1,51104,4,2222,4
1,39672,4,2222,4
1,39686,4,2222,4
1,39690,4,2222,4
1,54246,4,2222,4
1,59638,4,2222,4
1,49152,4,2222,4
1,40118,4,2222,4
1,41258,4,2222,4
1,42224,4,2222,4
1,43168,4,2222,4
1,45862,4,2222,4
1,50516,4,2222,4
1,46854,4,2222,4
1,39048,4,2222,4
1,47834,4,2222,4
1,41078,4,2222,4
1,45482,4,2222,4
1,45494,4,2222,4
1,59036,4,2222,4
1,60032,4,2222,4
1,37468,4,2222,4
1,41918,4,2222,4
1,42080,4,2222,4
1,42388,4,2222,4
1,43160,4,2222,4
1,52340,4,2222,4
1,52356,4,2222,4
1,39616,4,2222,4
1,52368,4,2222,4
1,40720,4,2222,4
1,49716,4,2222,4
1,50752,4,2222,4
1,51628,4,2222,4
1,57360,4,2222,4
1,58356,4,2222,4
1,35808,4,2222,4
1,59300,4,2222,4
1,42685,4,2222,4
1,35060,4,2222,4
1,47340,4,2222,4
1,36018,4,2222,4
1,48980,4,2222,4
1,49882,4,2222,4
1,40402,4,2222,4
1,50758,4,2222,4
1,33662,4,2222,4
1,41510,4,2222,4
1,56690,4,2222,4
1,42392,4,2222,4
1,53564,4,2222,4
1,56412,4,2222,4
1,41476,4,2222,4
1,40622,4,2222,4
1,59318,4,2222,4
1,60374,4,2222,4
1,60970,4,2222,4
1,33054,4,2222,4
1,45588,4,2222,4
1,49342,4,2222,4
1,36217,4,2222,4
1,50526,4,2222,4
1,51454,4,2222,4
1,49550,4,2222,4
1,53946,4,2222,4
1,55394,4,2222,4
1,55398,4,2222,4
1,60440,4,2222,4
1,50004,4,2222,4
1,51430,4,2222,4
1,52328,4,2222,4
1,41994,4,2222,4
1,43042,4,2222,4
1,57044,4,2222,4
1,44106,4,2222,4
1,49176,4,2222,4
1,49148,4,2222,4
1,52090,4,2222,4
1,47099,4,2222,4
1,42690,4,2222,4
1,47514,4,2222,4
1,47954,4,2222,4
1,40692,4,2222,4
1,34648,4,2222,4
1,35880,4,2222,4
1,36874,4,2222,4
1,43710,4,2222,4
1,54654,4,2222,4
1,39872,4,2222,4
